=== Processing Volume Level ===
Vocab size for volume: 9980
Training classifier for class 0
Training classifier for class 1
Training classifier for class 2
Training classifier for class 3
Training classifier for class 4
Training classifier for class 5
Training classifier for class 6
Training classifier for class 7
Training classifier for class 8
Training classifier for class 9
Training classifier for class 10
Training classifier for class 11
Training classifier for class 12
Training classifier for class 13
Training classifier for class 14
Training classifier for class 15
Training classifier for class 16
Training classifier for class 17
Training classifier for class 18
Training classifier for class 19
Training classifier for class 20
Training classifier for class 21
Training classifier for class 22
Training classifier for class 23
Training classifier for class 24
Training classifier for class 25
Training classifier for class 26
Training classifier for class 27
Training classifier for class 28
Training classifier for class 29
Training classifier for class 30
Training classifier for class 31
Training classifier for class 32
Training classifier for class 33
Training classifier for class 34
Training classifier for class 35
Training classifier for class 36
Training classifier for class 37
Training classifier for class 38
Training classifier for class 39
Training classifier for class 40
Training classifier for class 41
Training classifier for class 42
Training classifier for class 43
Training classifier for class 44
Training classifier for class 45
Training classifier for class 46

Final Metrics for XGBoost (from Scratch):

==== Metrics for XGBoost (Scratch) on TRAINING data ====
Accuracy = 0.4996
Model Evaluation Metrics (TRAINING data):
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 29     | 0.534        | 0.3945       | 0.4538       |
| Class 30     | 0.4818       | 0.1973       | 0.28         |
| Class 31     | 0.4694       | 0.1442       | 0.2206       |
| Class 32     | 0.2845       | 0.3258       | 0.3038       |
| Class 33     | 0.3096       | 0.1859       | 0.2323       |
| Class 34     | 0.6783       | 0.3108       | 0.4262       |
| Class 35     | 0.551        | 0.4376       | 0.4878       |
| Class 36     | 0.6825       | 0.5292       | 0.5962       |
| Class 37     | 0.6853       | 0.3577       | 0.47         |
| Class 38     | 0.6413       | 0.5229       | 0.5761       |
| Class 39     | 0.5898       | 0.2961       | 0.3943       |
| Class 40     | 0.5317       | 0.5383       | 0.535        |
| Class 41     | 0.3934       | 0.3569       | 0.3743       |
| Class 42     | 0.7178       | 0.2585       | 0.3801       |
| Class 43     | 0.6132       | 0.6132       | 0.6132       |
| Class 44     | 1.0          | 0.007        | 0.014        |
| Class 45     | 0.7651       | 0.4578       | 0.5729       |
| Class 46     | 0.6536       | 0.3836       | 0.4835       |
| Micro-Average | 0.4996       | 0.4996       | 0.4996       |
| Macro-Average | 0.6045       | 0.4379       | 0.4836       |
+--------------------------------------------------+


==== Metrics for XGBoost (Scratch) on VALIDATION data ====
Accuracy = 0.4801
Model Evaluation Metrics (VALIDATION data):
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 0      | 0.6109       | 0.6965       | 0.6509       |
| Class 1      | 0.7895       | 0.4054       | 0.5357       |
| Class 2      | 0.8462       | 0.442        | 0.5806       |
| Class 3      | 0.6574       | 0.4104       | 0.5053       |
| Class 4      | 0.37         | 0.3364       | 0.3524       |
| Class 5      | 0.1772       | 0.8304       | 0.2921       |
| Class 6      | 0.549        | 0.6901       | 0.6115       |
| Class 7      | 0.614        | 0.4545       | 0.5224       |
| Class 8      | 0.7012       | 0.5556       | 0.6199       |
| Class 9      | 0.8226       | 0.5315       | 0.6458       |
| Class 10     | 0.6225       | 0.4896       | 0.5481       |
| Class 11     | 0.3004       | 0.3116       | 0.3059       |
| Class 12     | 0.7368       | 0.2523       | 0.3758       |
| Class 13     | 0.4706       | 0.2963       | 0.3636       |
| Class 14     | 0.6154       | 0.2581       | 0.3636       |
| Class 15     | 0.5956       | 0.5226       | 0.5567       |
| Class 16     | 0.6142       | 0.4239       | 0.5016       |
| Class 17     | 0.7155       | 0.6766       | 0.6955       |
| Class 18     | 0.5875       | 0.2938       | 0.3917       |
| Class 19     | 0.6393       | 0.6923       | 0.6648       |
| Class 20     | 0.5703       | 0.2992       | 0.3925       |
| Class 21     | 0.6301       | 0.5287       | 0.575        |
| Class 22     | 0.7143       | 0.4231       | 0.5314       |
| Class 23     | 0.3951       | 0.2712       | 0.3216       |
| Class 24     | 0.6858       | 0.671        | 0.6783       |
| Class 25     | 0.2254       | 0.2025       | 0.2133       |
| Class 26     | 0.7614       | 0.5154       | 0.6147       |
| Class 27     | 0.6608       | 0.5979       | 0.6278       |
| Class 28     | 0.632        | 0.671        | 0.6509       |
| Class 29     | 0.5133       | 0.3973       | 0.4479       |
| Class 30     | 0.4719       | 0.1883       | 0.2692       |
| Class 31     | 0.5769       | 0.1415       | 0.2273       |
| Class 32     | 0.2414       | 0.2718       | 0.2557       |
| Class 33     | 0.1977       | 0.1278       | 0.1553       |
| Class 34     | 0.5161       | 0.1905       | 0.2783       |
| Class 35     | 0.486        | 0.3421       | 0.4015       |
| Class 36     | 0.6761       | 0.4444       | 0.5363       |
| Class 37     | 0.5306       | 0.2857       | 0.3714       |
| Class 38     | 0.5918       | 0.5133       | 0.5498       |
| Class 39     | 0.4632       | 0.2588       | 0.3321       |
| Class 40     | 0.5421       | 0.5          | 0.5202       |
| Class 41     | 0.3714       | 0.3197       | 0.3436       |
| Class 42     | 0.7067       | 0.2834       | 0.4046       |
| Class 43     | 0.4815       | 0.3662       | 0.416        |
| Class 44     | 0            | 0.0          | 0            |
| Class 45     | 0.6613       | 0.494        | 0.5655       |
| Class 46     | 0.6          | 0.3824       | 0.4671       |
| Micro-Average | 0.4801       | 0.4801       | 0.4801       |
| Macro-Average | 0.5519       | 0.4097       | 0.4517       |
+--------------------------------------------------+


==== Metrics for XGBoost (Scratch) on TEST data ====
Accuracy = 0.4811
Model Evaluation Metrics (TEST data):
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 0      | 0.5891       | 0.6304       | 0.609        |
| Class 1      | 0.5789       | 0.3929       | 0.4681       |
| Class 2      | 0.7583       | 0.4044       | 0.5275       |
| Class 3      | 0.6045       | 0.3844       | 0.47         |
| Class 4      | 0.303        | 0.2703       | 0.2857       |
| Class 5      | 0.1839       | 0.8447       | 0.302        |
| Class 6      | 0.5606       | 0.7007       | 0.6228       |
| Class 7      | 0.7055       | 0.4978       | 0.5838       |
| Class 8      | 0.7483       | 0.5314       | 0.6215       |
| Class 9      | 0.8467       | 0.5293       | 0.6514       |
| Class 10     | 0.6842       | 0.5417       | 0.6047       |
| Class 11     | 0.362        | 0.3721       | 0.367        |
| Class 12     | 0.7714       | 0.2455       | 0.3724       |
| Class 13     | 0.3636       | 0.2963       | 0.3265       |
| Class 14     | 0.5686       | 0.2339       | 0.3314       |
| Class 15     | 0.4825       | 0.4452       | 0.4631       |
| Class 16     | 0.5903       | 0.4645       | 0.5199       |
| Class 17     | 0.7372       | 0.663        | 0.6981       |
| Class 18     | 0.6098       | 0.3125       | 0.4132       |
| Class 19     | 0.6648       | 0.7118       | 0.6875       |
| Class 20     | 0.5359       | 0.3374       | 0.4141       |
| Class 21     | 0.6299       | 0.5101       | 0.5637       |
| Class 22     | 0.7273       | 0.4923       | 0.5872       |
| Class 23     | 0.2603       | 0.161        | 0.199        |
| Class 24     | 0.6902       | 0.6991       | 0.6946       |
| Class 25     | 0.2299       | 0.2564       | 0.2424       |
| Class 26     | 0.8875       | 0.5504       | 0.6794       |
| Class 27     | 0.5969       | 0.6032       | 0.6          |
| Class 28     | 0.6441       | 0.6607       | 0.6523       |
| Class 29     | 0.5286       | 0.3788       | 0.4414       |
| Class 30     | 0.4835       | 0.1973       | 0.2803       |
| Class 31     | 0.6087       | 0.1308       | 0.2154       |
| Class 32     | 0.2481       | 0.3107       | 0.2759       |
| Class 33     | 0.2963       | 0.1805       | 0.2243       |
| Class 34     | 0.5714       | 0.2857       | 0.381        |
| Class 35     | 0.4095       | 0.281        | 0.3333       |
| Class 36     | 0.6667       | 0.4587       | 0.5435       |
| Class 37     | 0.6667       | 0.3913       | 0.4932       |
| Class 38     | 0.5545       | 0.52         | 0.5367       |
| Class 39     | 0.4382       | 0.2294       | 0.3012       |
| Class 40     | 0.5254       | 0.5236       | 0.5245       |
| Class 41     | 0.3333       | 0.2295       | 0.2718       |
| Class 42     | 0.6154       | 0.2567       | 0.3623       |
| Class 43     | 0.5417       | 0.5493       | 0.5455       |
| Class 44     | 0            | 0.0          | 0            |
| Class 45     | 0.66         | 0.3976       | 0.4962       |
| Class 46     | 0.6481       | 0.3431       | 0.4487       |
| Micro-Average | 0.4811       | 0.4811       | 0.4811       |
| Macro-Average | 0.547        | 0.4129       | 0.4518       |
+--------------------------------------------------+
